company_size,company_country,position_country,position_employmentType,position_workSetting,position_name,employee_gender,employee_age_gap,employee_country,interview_date,interview_score,interview_duration,interviewer_name,interviewer_gender,candidate_name,candidate_gender,candidate_country
M,United States,United States,Full-time,Office,Research Engineer,Female,38-47,United States,2022-07-09,8,18,Interviewer Second,Female,Ava Garcia,Female,United States
M,United States,United States,Full-time,Office,Data Analyst,Female,28-37,United States,2022-12-05,9,16,Interviewer First,Male,Daniel Brown,Female,United States
M,United States,United States,Full-time,Office,Data Analyst,Female,18-27,United States,2022-10-15,8,25,Interviewer Second,Female,David Thomas,Female,United States
M,Canada,Canada,Full-time,Office,Machine Learning Engineer,Male,28-37,Canada,2024-02-29,8,17,Interviewer First,Male,Abigail Johnson,Male,Canada
M,Canada,Canada,Full-time,Office,Machine Learning Engineer,Female,28-37,Canada,2023-05-31,10,43,Interviewer First,Male,Michael Moore,Female,Canada
M,United Kingdom,United Kingdom,Full-time,Office,Data Engineer,Male,38-47,United Kingdom,2022-10-10,8,16,Interviewer First,Male,Olivia Martinez,Male,United Kingdom
M,United Kingdom,United Kingdom,Full-time,Office,Data Engineer,Male,18-27,United Kingdom,2022-01-03,9,40,Interviewer Second,Female,Mia Thomas,Male,United Kingdom
M,United States,United States,Full-time,Office,Research Scientist,Female,18-27,United States,2021-06-12,10,26,Interviewer Second,Female,Emily Smith,Female,United States
M,United States,United States,Full-time,Office,Research Scientist,Female,18-27,United States,2023-03-16,8,39,Interviewer Second,Female,Mia Miller,Female,United States
M,United States,United States,Full-time,Remote,Data Analyst,Female,28-37,United States,2022-07-12,9,17,Interviewer First,Male,Elizabeth Martin,Female,United States
M,United States,United States,Full-time,Remote,Data Analyst,Male,28-37,United States,2023-08-20,8,32,Interviewer First,Male,Michael Martinez,Male,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,38-47,United States,2024-02-16,10,28,Interviewer Second,Female,James Harris,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,18-27,United States,2022-04-12,8,55,Interviewer First,Male,Ava Jackson,Female,United States
M,United States,United States,Full-time,Remote,Data Engineer,Female,38-47,United States,2024-02-10,9,24,Interviewer Second,Female,Isabella Johnson,Female,United States
M,United States,United States,Full-time,Remote,Data Engineer,Male,28-37,United States,2023-05-05,8,49,Interviewer First,Male,Joseph Brown,Male,United States
M,United States,United States,Full-time,Office,Data Engineer,Male,38-47,United States,2024-03-16,10,23,Interviewer Second,Female,John Garcia,Male,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,28-37,United States,2022-07-26,8,41,Interviewer Second,Female,Sophia Johnson,Female,United States
M,United States,United States,Full-time,Office,Data Scientist,Male,28-37,United States,2024-03-10,10,30,Interviewer First,Male,Joseph Garcia,Male,United States
M,United States,United States,Full-time,Office,Data Scientist,Male,18-27,United States,2023-11-05,10,45,Interviewer Second,Female,Joseph White,Male,United States
M,United States,United States,Full-time,Remote,Research Scientist,Male,28-37,United States,2024-03-17,8,21,Interviewer Second,Female,Alexander Williams,Male,United States
M,United States,United States,Full-time,Remote,Research Scientist,Male,28-37,United States,2022-04-16,9,26,Interviewer Second,Female,Olivia Moore,Male,United States
M,United States,United States,Full-time,Remote,Data Engineer,Female,18-27,United States,2022-04-06,10,25,Interviewer Second,Female,Daniel Johnson,Female,United States
M,United States,United States,Full-time,Remote,Data Engineer,Female,28-37,United States,2021-04-01,10,36,Interviewer Second,Female,Olivia Moore,Female,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Female,18-27,United States,2022-06-12,9,28,Interviewer First,Male,Alexander Moore,Female,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Female,18-27,United States,2020-07-28,9,26,Interviewer First,Male,James Harris,Female,United States
M,United States,United States,Full-time,Remote,Data Scientist,Male,38-47,United States,2020-10-24,9,29,Interviewer Second,Female,Olivia Johnson,Male,United States
M,United States,United States,Full-time,Remote,Data Scientist,Female,18-27,United States,2023-11-14,10,28,Interviewer First,Male,David Taylor,Female,United States
M,United States,United States,Full-time,Office,Data Scientist,Female,38-47,United States,2023-08-08,9,52,Interviewer First,Male,Ava White,Female,United States
M,United States,United States,Full-time,Office,Data Scientist,Female,28-37,United States,2024-03-14,9,26,Interviewer First,Male,Abigail Thomas,Female,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Male,38-47,United States,2022-11-08,9,40,Interviewer Second,Female,Mia Smith,Male,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Female,28-37,United States,2021-06-02,8,40,Interviewer First,Male,Ava Moore,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,28-37,United States,2023-07-02,9,43,Interviewer First,Male,William White,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,38-47,United States,2023-11-14,9,20,Interviewer First,Male,David Martinez,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,38-47,United States,2022-11-12,8,44,Interviewer Second,Female,Ava Davis,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,28-37,United States,2021-11-30,10,20,Interviewer First,Male,David Brown,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,18-27,United States,2021-10-01,9,28,Interviewer First,Male,Isabella Wilson,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Male,38-47,United States,2021-03-01,8,44,Interviewer First,Male,David Brown,Male,United States
M,United States,United States,Full-time,Office,Data Scientist,Male,18-27,United States,2023-03-05,10,51,Interviewer First,Male,Michael Harris,Male,United States
M,United States,United States,Full-time,Office,Data Scientist,Female,18-27,United States,2023-06-05,8,52,Interviewer Second,Female,Abigail Martin,Female,United States
M,United States,United States,Full-time,Remote,Data Science Engineer,Female,18-27,United States,2024-01-02,9,20,Interviewer Second,Female,Sophia Miller,Female,United States
M,United States,United States,Full-time,Remote,Data Science Engineer,Male,38-47,United States,2022-05-01,8,50,Interviewer Second,Female,David Davis,Male,United States
M,United States,United States,Full-time,Office,Data Scientist,Female,18-27,United States,2023-12-28,10,29,Interviewer First,Male,Emily White,Female,United States
M,United States,United States,Full-time,Office,Data Scientist,Male,38-47,United States,2023-04-06,9,52,Interviewer Second,Female,Joseph Anderson,Male,United States
M,United States,United States,Full-time,Remote,Data Scientist,Male,28-37,United States,2024-02-12,8,41,Interviewer Second,Female,Isabella White,Male,United States
M,United States,United States,Full-time,Remote,Data Scientist,Female,18-27,United States,2022-10-22,10,48,Interviewer First,Male,Ava Anderson,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,28-37,United States,2024-03-07,10,33,Interviewer First,Male,Emily Miller,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,28-37,United States,2023-12-31,9,23,Interviewer First,Male,Daniel Martinez,Female,United States
M,United States,United States,Full-time,Remote,Data Engineer,Male,28-37,United States,2024-02-13,10,19,Interviewer First,Male,Ethan Wilson,Male,United States
M,United States,United States,Full-time,Remote,Data Engineer,Female,18-27,United States,2024-03-26,9,34,Interviewer First,Male,Ava Davis,Female,United States
M,United States,United States,Full-time,Remote,Research Scientist,Male,38-47,United States,2024-03-16,10,55,Interviewer First,Male,Olivia Williams,Male,United States
M,United States,United States,Full-time,Remote,Research Scientist,Male,28-37,United States,2022-03-28,9,53,Interviewer Second,Female,James Williams,Male,United States
M,United States,United States,Full-time,Office,Research Scientist,Female,18-27,United States,2023-11-08,8,57,Interviewer First,Male,John Thompson,Female,United States
M,United States,United States,Full-time,Office,Research Scientist,Male,28-37,United States,2024-02-04,8,23,Interviewer First,Male,Ethan Harris,Male,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,28-37,United States,2024-04-24,9,52,Interviewer Second,Female,Joseph White,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Male,28-37,United States,2022-02-20,8,36,Interviewer First,Male,David Miller,Male,United States
M,United States,United States,Full-time,Office,Data Engineer,Male,38-47,United States,2024-03-13,8,15,Interviewer Second,Female,Matthew Taylor,Male,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,18-27,United States,2021-09-05,9,42,Interviewer First,Male,Isabella Williams,Female,United States
M,United States,United States,Full-time,Office,Data Scientist,Female,18-27,United States,2023-11-15,8,22,Interviewer First,Male,James Miller,Female,United States
M,United States,United States,Full-time,Office,Data Architect,Female,28-37,United States,2021-01-04,8,48,Interviewer Second,Female,Elizabeth Andersonasdf,Female,United States
M,United States,United States,Full-time,Office,Data Scientist,Male,28-37,United States,2022-10-30,10,59,Interviewer Second,Female,Sophia Brown,Male,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Male,18-27,United States,2021-03-28,10,26,Interviewer First,Male,Daniel Wilson,Male,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Female,38-47,United States,2023-11-19,9,54,Interviewer Second,Female,Ava Harris,Female,United States
M,United Kingdom,United Kingdom,Full-time,Remote,Data Quality Analyst,Female,28-37,United Kingdom,2024-01-13,10,17,Interviewer First,Male,Michael Moore,Female,United Kingdom
M,United Kingdom,United Kingdom,Full-time,Remote,Data Quality Analyst,Female,28-37,United Kingdom,2023-04-26,9,22,Interviewer First,Male,Isabella Moore,Female,United Kingdom
M,United States,United States,Full-time,Office,Data Scientist,Male,18-27,United States,2023-11-14,9,25,Interviewer First,Male,Daniel Taylor,Male,United States
M,United States,United States,Full-time,Office,Data Scientist,Female,38-47,United States,2022-11-06,8,38,Interviewer First,Male,Alexander Taylor,Female,United States
M,United States,United States,Full-time,Office,Data Product Manager,Male,18-27,United States,2024-04-21,10,39,Interviewer Second,Female,Ava Williams,Male,United States
M,United States,United States,Full-time,Office,Data Product Manager,Male,28-37,United States,2022-07-30,10,16,Interviewer First,Male,Olivia Smith,Male,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Male,28-37,United States,2024-03-08,8,35,Interviewer First,Male,Sophia Wilson,Male,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Male,38-47,United States,2021-10-07,10,53,Interviewer First,Male,Mia White,Male,United States
M,Canada,Canada,Full-time,Remote,Data Engineer,Male,38-47,Canada,2023-12-01,10,20,Interviewer First,Male,Isabella Garcia,Male,Canada
M,Canada,Canada,Full-time,Remote,Data Engineer,Female,28-37,Canada,2021-06-27,10,56,Interviewer First,Male,Isabella Anderson,Female,Canada
M,United States,United States,Full-time,Office,Machine Learning Engineer,Female,28-37,United States,2024-02-29,9,44,Interviewer Second,Female,Abigail Martinez,Female,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Male,38-47,United States,2023-08-21,9,59,Interviewer Second,Female,Daniel Jackson,Male,United States
M,United States,United States,Full-time,Remote,Data Analyst,Male,28-37,United States,2023-10-14,9,29,Interviewer First,Male,Olivia Martinez,Male,United States
M,United States,United States,Full-time,Remote,Data Analyst,Female,28-37,United States,2024-01-22,9,16,Interviewer First,Male,Matthew Miller,Female,United States
M,United States,United States,Full-time,Remote,Data Scientist,Female,38-47,United States,2024-03-06,9,43,Interviewer First,Male,Charlotte Smith,Female,United States
M,United States,United States,Full-time,Remote,Data Scientist,Female,18-27,United States,2024-03-02,10,28,Interviewer Second,Female,Abigail Williams,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,28-37,United States,2024-01-26,10,56,Interviewer Second,Female,Joseph Williams,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,18-27,United States,2023-09-12,8,59,Interviewer First,Male,Elizabeth Williams,Female,United States
M,United States,United States,Full-time,Office,Data Scientist,Male,18-27,United States,2023-05-08,8,30,Interviewer Second,Female,Ethan Williams,Male,United States
M,United States,United States,Full-time,Office,Data Scientist,Female,38-47,United States,2022-05-04,10,31,Interviewer Second,Female,Charlotte Smith,Female,United States
M,United States,United States,Full-time,Office,Data Analyst,Male,18-27,United States,2022-08-21,10,40,Interviewer First,Male,Charlotte Anderson,Male,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,18-27,United States,2022-12-08,8,38,Interviewer Second,Female,James Thomas,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Male,18-27,United States,2023-01-25,10,30,Interviewer First,Male,Michael Jones,Male,United States
M,United States,United States,Full-time,Remote,Machine Learning Scientist,Male,28-37,United States,2023-09-17,10,19,Interviewer First,Male,Matthew Williams,Male,United States
M,United States,United States,Full-time,Remote,Machine Learning Scientist,Female,18-27,United States,2023-12-22,8,49,Interviewer Second,Female,Emily Smith,Female,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Female,28-37,United States,2023-03-02,10,41,Interviewer First,Male,Olivia Jackson,Female,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Male,28-37,United States,2022-12-17,10,57,Interviewer Second,Female,Charlotte Martin,Male,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,18-27,United States,2023-04-27,10,46,Interviewer Second,Female,Alexander Williams,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,38-47,United States,2022-08-03,9,31,Interviewer Second,Female,Emily Williams,Female,United States
M,United States,United States,Full-time,Office,AI Engineer,Female,28-37,United States,2021-09-28,9,33,Interviewer First,Male,Abigail Brown,Female,United States
M,United States,United States,Full-time,Office,AI Engineer,Male,28-37,United States,2024-04-23,8,56,Interviewer Second,Female,Olivia Johnson,Male,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Male,38-47,United States,2023-11-17,8,30,Interviewer First,Male,Daniel Jackson,Male,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Female,28-37,United States,2023-11-20,10,28,Interviewer First,Male,Emma Taylor,Female,United States
M,United States,United States,Full-time,Office,Data Architect,Male,18-27,United States,2023-05-08,8,27,Interviewer First,Male,David Jackson,Male,United States
M,United States,United States,Full-time,Office,Data Architect,Female,38-47,United States,2023-10-28,10,60,Interviewer Second,Female,Charlotte Jones,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,28-37,United States,2022-12-13,8,21,Interviewer Second,Female,James Jackson,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Male,18-27,United States,2024-03-07,9,55,Interviewer First,Male,Charlotte White,Male,United States
M,United States,United States,Full-time,Office,MLOps Engineer,Female,18-27,United States,2024-02-19,10,16,Interviewer First,Male,Joseph Martin,Female,United States
M,United States,United States,Full-time,Office,MLOps Engineer,Female,28-37,United States,2021-03-28,9,50,Interviewer Second,Female,Joseph Thompson,Female,United States
M,United States,United States,Full-time,Office,Analytics Engineer,Male,18-27,United States,2023-12-19,8,48,Interviewer Second,Female,John White,Male,United States
M,United States,United States,Full-time,Office,Analytics Engineer,Female,18-27,United States,2024-01-24,9,27,Interviewer First,Male,David Smith,Female,United States
M,United Kingdom,United Kingdom,Full-time,Office,Data Engineer,Female,18-27,United Kingdom,2021-08-17,8,58,Interviewer Second,Female,Ethan Thompson,Female,United Kingdom
M,United Kingdom,United Kingdom,Full-time,Office,Data Engineer,Male,18-27,United Kingdom,2021-06-14,9,50,Interviewer First,Male,Ethan Wilson,Male,United Kingdom
M,Spain,Spain,Full-time,Office,Data Scientist,Female,18-27,Spain,2022-03-26,10,36,Interviewer First,Male,William Martin,Female,Spain
M,Spain,Spain,Full-time,Office,Data Scientist,Male,18-27,Spain,2023-04-30,9,21,Interviewer First,Male,Michael Robinson,Male,Spain
M,United Kingdom,United Kingdom,Full-time,Office,Data Analyst,Female,38-47,United Kingdom,2023-11-29,9,20,Interviewer First,Male,James Miller,Female,United Kingdom
M,United Kingdom,United Kingdom,Full-time,Office,Data Analyst,Female,18-27,United Kingdom,2021-08-13,9,23,Interviewer Second,Female,Emma Garcia,Female,United Kingdom
M,United Kingdom,United Kingdom,Full-time,Office,Data Analyst,Male,18-27,United Kingdom,2021-11-12,9,39,Interviewer Second,Female,Charlotte Harris,Male,United Kingdom
M,United Kingdom,United Kingdom,Full-time,Office,Data Analyst,Male,18-27,United Kingdom,2021-01-13,10,60,Interviewer First,Male,John Wilson,Male,United Kingdom
L,Ireland,Ireland,Full-time,Hybrid,Data Scientist,Male,38-47,Ireland,2023-04-29,9,25,Interviewer Second,Female,John Wilson,Male,Ireland
M,Canada,Canada,Full-time,Remote,Deep Learning Engineer,Male,28-37,Canada,2022-01-28,10,31,Interviewer First,Male,Charlotte Robinson,Male,Canada
M,Canada,Canada,Full-time,Remote,Deep Learning Engineer,Male,38-47,Canada,2024-03-22,8,24,Interviewer First,Male,Charlotte Harris,Male,Canada
M,United States,United States,Full-time,Office,Data Engineer,Female,18-27,United States,2024-03-28,8,32,Interviewer First,Male,Ethan White,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,28-37,United States,2021-06-12,10,22,Interviewer Second,Female,Sophia Anderson,Female,United States
M,South Africa,South Africa,Full-time,Office,Data Engineer,Female,28-37,South Africa,2024-02-29,9,49,Interviewer Second,Female,Elizabeth Anderson,Female,South Africa
M,South Africa,South Africa,Full-time,Office,Data Engineer,Female,28-37,South Africa,2021-03-08,9,42,Interviewer First,Male,Michael Robinson,Female,South Africa
M,United States,United States,Full-time,Office,Data Scientist,Male,28-37,United States,2022-11-02,8,19,Interviewer Second,Female,Michael Johnson,Male,United States
M,United States,United States,Full-time,Office,Data Scientist,Male,38-47,United States,2020-11-16,9,20,Interviewer First,Male,Mia Johnson,Male,United States
M,United States,United States,Full-time,Office,Data Scientist,Female,38-47,United States,2024-01-20,9,48,Interviewer Second,Female,Ethan Harris,Female,United States
M,United States,United States,Full-time,Office,Data Scientist,Male,28-37,United States,2021-12-28,9,52,Interviewer First,Male,Charlotte Martin,Male,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,18-27,United States,2024-01-23,9,17,Interviewer Second,Female,Emily Moore,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,38-47,United States,2021-08-14,8,17,Interviewer Second,Female,Olivia Smith,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Female,18-27,United States,2022-12-24,10,47,Interviewer Second,Female,James Smith,Female,United States
M,United States,United States,Full-time,Office,Data Engineer,Male,28-37,United States,2023-04-16,10,27,Interviewer First,Male,Elizabeth Jones,Male,United States
M,United States,United States,Full-time,Office,Data Modeler,Female,28-37,United States,2023-09-04,8,21,Interviewer First,Male,Emma Williams,Female,United States
M,United States,United States,Full-time,Office,Data Modeler,Male,18-27,United States,2022-07-24,8,60,Interviewer First,Male,William Jackson,Male,United States
M,United States,United States,Full-time,Office,Data Scientist,Male,28-37,United States,2024-01-17,10,18,Interviewer Second,Female,Olivia Brown,Male,United States
M,United States,United States,Full-time,Office,Data Scientist,Female,38-47,United States,2024-05-06,9,47,Interviewer Second,Female,Michael Miller,Female,United States
M,United States,United States,Full-time,Office,Data Scientist,Male,38-47,United States,2024-02-03,8,54,Interviewer Second,Female,Daniel Garcia,Male,United States
M,United States,United States,Full-time,Office,Data Scientist,Male,28-37,United States,2023-11-30,9,55,Interviewer First,Male,William Brown,Male,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Female,28-37,United States,2020-12-06,10,35,Interviewer Second,Female,Joseph Robinson,Female,United States
M,United States,United States,Full-time,Office,Machine Learning Engineer,Male,38-47,United States,2022-10-29,10,17,Interviewer Second,Female,Elizabeth White,Male,United States
M,United States,United States,Full-time,Office,Data Scientist,Female,18-27,United States,2024-02-25,10,43,Interviewer First,Male,James Smith,Female,United States
